Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.723s)
3.06028 3.06028 0 5360
3.12187 0.0615888 5360 5896
3.12281 0.000944138 5896 6432
3.12376 0.000943899 6432 6968
3.1247 0.000943899 6968 7504
3.12564 0.000944138 7504 8040
3.18341 0.0577695 8040 8576
3.18436 0.000943899 8576 9112
3.1853 0.000944138 9112 9648
3.18624 0.000943899 9648 10184
3.18719 0.000944138 10184 10720
3.18813 0.000943899 10720 11256
3.18908 0.000944138 11256 11792
3.24496 0.0558815 11792 10720
3.31547 0.0705135 10720 11256
3.37655 0.0610738 11256 11792
3.43905 0.0625088 11792 11256
3.43953 0.00047183 11256 11033
3.44 0.000472069 11033 10184
3.62135 0.181352 10184 9648
3.68056 0.0592048 9648 9112
3.68292 0.00236011 9112 9648
3.68765 0.00473928 9648 9112
3.74212 0.0544655 9112 9648
3.74403 0.00190711 9648 9112
3.8037 0.0596769 9112 8576
3.80656 0.00285125 8576 8040
3.86484 0.05828 8040 7504
3.86576 0.000924826 7504 9112
3.87237 0.00660801 9112 8576
3.92925 0.0568831 8576 8040
3.93393 0.00468159 8040 8576
3.988 0.0540705 8576 8040
3.99082 0.00281286 8040 8576
3.9927 0.0018878 8576 8040
4.11253 0.119826 8040 7504
4.29673 0.184203 7504 8040
4.30513 0.00839996 8040 8576
4.36668 0.0615454 8576 9112
4.42637 0.0596962 9112 9648
4.48792 0.0615454 9648 10184
4.54899 0.0610738 10184 10720
4.61054 0.0615458 10720 11256
4.66744 0.0569019 11256 10720
4.66791 0.000472069 10720 10383
4.66839 0.000472069 10383 10214
4.66886 0.000472069 10214 10045
4.67022 0.00135851 10045 9876
4.67069 0.000472069 9876 9707
4.67116 0.000472069 9707 9538
4.67163 0.000471592 9538 9369
4.6721 0.000472069 9369 9200
4.67258 0.000472069 9200 9031
4.67305 0.000472069 9031 8442
4.67352 0.000472069 8442 8040
4.67733 0.00381422 8040 7504
4.72901 0.051672 7504 8442
4.72995 0.000944138 8442 8040
4.73605 0.00609779 8040 7504
4.7389 0.00285101 7504 8442
4.79152 0.0526161 8442 8040
4.79335 0.0018301 8040 7906
4.79382 0.000472069 7906 7504
4.79759 0.00377607 7504 7906
4.79854 0.000944138 7906 7504
4.85259 0.0540509 7504 7906
4.86295 0.010365 7906 8040
4.92403 0.0610733 8040 8576
4.98227 0.0582418 8576 8040
4.98274 0.000472069 8040 7906
4.98321 0.000472069 7906 7504
5.04568 0.0624704 7504 7906
5.10255 0.0568638 7906 6968
5.10872 0.00617456 6968 6432
5.16411 0.0553904 6432 6968
5.1707 0.00658894 6968 7370
5.23179 0.0610924 7370 7504
5.29334 0.0615458 7504 8040
5.59589 0.302555 8040 7504
5.59637 0.000472069 7504 7370
5.59684 0.000472069 7370 6968
5.65744 0.0606017 6968 7370
6.09772 0.440278 7370 6432
6.15926 0.0615458 6432 6834
6.22413 0.0648689 6834 5896
6.28615 0.0620174 5896 6298
6.40596 0.119806 6298 5360
6.4675 0.0615458 5360 5762
6.58874 0.121242 5762 5896
6.64319 0.0544462 5896 6432
6.70474 0.0615458 6432 6968
6.77997 0.0752335 6968 7504
6.88986 0.109894 7504 6968
6.89034 0.000472069 6968 6617
6.89081 0.000472069 6617 6441
6.89128 0.000472069 6441 6265
6.89744 0.00615501 6265 5762
6.89791 0.000472069 5762 5360
6.95143 0.0535216 5360 5762
6.95237 0.000944138 5762 4824
7.01392 0.0615454 4824 5762
7.07454 0.0606208 5762 5896
7.15074 0.0761967 5896 6432
7.33156 0.180822 6432 6968
7.38512 0.0535603 6968 6432
7.39312 0.00800467 6432 6129
7.3936 0.000472069 6129 5762
7.39407 0.000472069 5762 5360
7.44666 0.0525966 5360 5762
7.45563 0.00896835 5762 5360
7.45799 0.00235987 5360 4824
7.51954 0.0615454 4824 5762
7.58063 0.0610929 5762 5896
7.63179 0.0511618 5896 6432
7.69334 0.0615454 6432 6968
7.76953 0.0761971 6968 7504
7.89215 0.122619 7504 8040
7.95274 0.0605822 8040 8576
8.01717 0.064435 8576 7646
8.06407 0.046895 7646 7448
8.06454 0.000472069 7448 6432
8.26337 0.198834 6432 6968
8.32396 0.0605831 6968 7504
8.3737 0.0497456 7504 6968
8.37417 0.000472069 6968 6432
8.44948 0.0753098 6432 5896
8.5721 0.12262 5896 6432
8.75527 0.183163 6432 6968
8.80832 0.05305 6968 7504
8.86988 0.0615644 7504 6968
8.87035 0.000472069 6968 6633
8.87082 0.000472069 6633 5896
8.8803 0.00947857 5896 5360
8.93144 0.0511427 5360 5896
9.00245 0.0710049 5896 6432
9.17623 0.17378 6432 6968
9.19045 0.0142174 6968 6432
9.19092 0.000472069 6432 5896
9.31352 0.122601 5896 6432
9.37507 0.0615454 6432 6968
9.43899 0.0639248 6968 6432
9.43946 0.000472069 6432 5896
9.4977 0.0582409 5896 5360
9.50099 0.00328541 5360 5896
9.62034 0.119353 5896 6432
9.68189 0.0615454 6432 6968
9.7491 0.0672102 6968 7504
9.80972 0.0606203 7504 6968
9.81019 0.000472069 6968 6633
9.81066 0.000472069 6633 5896
9.99107 0.180408 5896 5360
