Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.558s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.125662 0.0019072 6968 6432
0.311715 0.186053 6432 6968
0.372789 0.0610736 6968 7504
0.434334 0.0615456 7504 8040
0.498278 0.063944 8040 7504
0.49875 0.000471979 7504 6432
0.682954 0.184203 6432 6968
0.744008 0.0610544 6968 7504
0.805554 0.0615456 7504 8040
0.927701 0.122147 8040 7504
0.928173 0.000472009 7504 7189
0.929136 0.000963151 7189 6432
1.172 0.242859 6432 6968
1.17957 0.00757122 6968 7504
1.24111 0.0615456 7504 8040
1.30219 0.0610737 8040 8576
1.36373 0.0615455 8576 9112
1.42105 0.0573169 9112 8576
1.42152 0.00047195 8576 8224
1.42199 0.00047195 8224 8048
1.4253 0.003304 8048 7871
1.42577 0.000472069 7871 7695
1.42624 0.00047195 7695 7519
1.42671 0.000472069 7519 7342
1.42718 0.00047195 7342 6834
1.42766 0.000472069 6834 6432
1.43004 0.00237918 6432 5896
1.48261 0.0525776 5896 6834
1.48356 0.000943899 6834 6432
1.49068 0.00711846 6432 5896
1.4916 0.000924826 5896 6834
1.54422 0.052616 6834 5896
1.55224 0.00802398 5896 6298
1.55316 0.000924826 6298 5896
1.60576 0.0525968 5896 6298
1.66685 0.0610927 6298 6432
1.7284 0.0615456 6432 6968
1.80029 0.0718912 6968 7504
1.8534 0.0531073 7504 6968
1.85387 0.00047195 6968 6684
1.85434 0.00047195 6684 6298
1.85904 0.0047009 6298 5896
1.91542 0.0563728 5896 6298
2.04419 0.128774 6298 5360
2.04466 0.000472069 5360 4824
2.10576 0.0610926 4824 5360
2.10621 0.000452995 5360 5762
2.16122 0.0550144 5762 4824
2.22277 0.0615456 4824 5226
2.29417 0.0713999 5226 5360
2.41401 0.119845 5360 4824
2.41448 0.00047183 4824 3752
2.47558 0.0610929 3752 4288
2.47605 0.000472069 4288 4824
2.53714 0.0610929 4824 4288
