Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.568s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.184357 0.000943989 8576 9112
0.185301 0.000944003 9112 9648
0.186245 0.000944003 9648 10184
0.187189 0.000944003 10184 10720
0.188133 0.000943989 10720 11256
0.189077 0.000944003 11256 11792
0.244958 0.0558816 11792 12328
0.245902 0.000944003 12328 12864
0.246846 0.000943989 12864 13400
0.24779 0.000944003 13400 13936
0.248734 0.000944003 13936 14472
0.249678 0.000944003 14472 15008
0.250622 0.000943989 15008 15544
0.251566 0.000944018 15544 16080
0.25251 0.000943989 16080 16616
0.253454 0.000943989 16616 17152
0.254398 0.000944018 17152 17688
0.306976 0.0525776 17688 18224
0.30792 0.000944018 18224 18760
0.308864 0.000943989 18760 19296
0.310771 0.0019072 19296 18760
0.311243 0.000472009 18760 18224
0.311715 0.000471979 18224 17872
0.312187 0.000472009 17872 17576
0.312659 0.000472009 17576 17279
0.313131 0.000472009 17279 16983
0.313603 0.000471979 16983 16687
0.315038 0.00143522 16687 16095
0.31551 0.000471979 16095 15262
0.315982 0.000472009 15262 14966
0.316454 0.000472009 14966 14670
0.316926 0.000471979 14670 14374
0.317398 0.000472009 14374 14078
0.31787 0.000472009 14078 13781
0.318342 0.000471979 13781 13485
0.318814 0.000472009 13485 13189
0.319286 0.000472009 13189 12893
0.319758 0.000471979 12893 12596
0.32023 0.000472009 12596 12300
0.320702 0.000472009 12300 12004
0.321174 0.000472009 12004 11708
0.321646 0.000471979 11708 11412
0.36856 0.0469136 11412 11115
0.369032 0.000472009 11115 10819
0.369504 0.000472009 10819 10523
0.369976 0.000472009 10523 10227
0.370448 0.000471979 10227 9931
0.37092 0.000472009 9931 9112
0.378019 0.00709921 9112 9143
0.380851 0.002832 9143 9112
0.382267 0.001416 9112 8576
