Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.533s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.184357 0.000943989 8576 9112
0.185301 0.000944003 9112 9648
0.186245 0.000944003 9648 10184
0.187189 0.000944003 10184 10720
0.188133 0.000943989 10720 11256
0.189077 0.000944003 11256 11792
0.244958 0.0558816 11792 12328
0.247829 0.0028704 12328 11792
0.248301 0.000472009 11792 11256
0.248773 0.000471994 11256 10324
0.249245 0.000471994 10324 10013
0.249717 0.000472009 10013 9702
0.250189 0.000471994 9702 9391
0.250661 0.000472009 9391 9080
0.251133 0.000471979 9080 8769
0.251605 0.000472009 8769 8459
0.252077 0.000472009 8459 8148
0.252549 0.000472009 8148 7837
0.253021 0.000471979 7837 7526
0.253493 0.000472009 7526 7215
0.253965 0.000472009 7215 6904
0.254437 0.000471979 6904 6593
0.306542 0.0521056 6593 6282
0.307014 0.000472009 6282 5628
0.307486 0.000471979 5628 5360
0.311262 0.00377601 5360 5628
0.311262 0 5628 5679
0.313622 0.00235999 5679 5729
0.315982 0.00236002 5729 5779
0.370467 0.0544848 5779 5828
0.37328 0.0028128 5828 5877
0.37564 0.00236002 5877 5925
0.378 0.00235999 5925 5973
0.432485 0.0544848 5973 6021
0.433429 0.000943989 6021 6068
0.435298 0.00186881 6068 6115
0.437658 0.00235999 6115 6161
0.439546 0.00188801 6161 6207
0.49403 0.0544848 6207 6253
0.494974 0.000944018 6253 6298
0.496843 0.00186878 6298 6343
0.499203 0.00236002 6343 6388
0.501091 0.00188798 6388 6432
0.555576 0.0544848 6432 6476
0.55652 0.000943959 6476 6520
0.558389 0.00186884 6520 6564
0.560749 0.00235999 6564 6607
0.562637 0.00188798 6607 6650
0.563581 0.000944018 6650 6693
0.617594 0.0540128 6693 6735
0.618538 0.000944018 6735 6777
0.620406 0.00186878 6777 6819
